組み合わせ,オッズ
"('ニシノキララコ', 'ユノディエール')",897.4577834667856
"('ニシノキララコ', 'マイネルヘミニス')",368.7804878048781
"('ニシノキララコ', 'プラチナヴォイス')",116.0176559228687
"('ニシノキララコ', 'スピリットソウル')",36.895932341473824
"('ニシノキララコ', 'ジャコマル')",3721.1041679468813
"('ニシノキララコ', 'クインズゴールド')",590.1365533218033
"('ニシノキララコ', 'アルマバテーム')",3607.4245322245324
"('ニシノキララコ', 'ナルカミ')",254.93101182051876
"('ニシノキララコ', 'プエルタデルソル')",442.58182971972496
"('ユノディエール', 'マイネルヘミニス')",218.9209299673571
"('ユノディエール', 'プラチナヴォイス')",68.89791878542907
"('ユノディエール', 'スピリットソウル')",21.933890488246945
"('ユノディエール', 'ジャコマル')",2208.630777041248
"('ユノディエール', 'クインズゴールド')",350.30275049644416
"('ユノディエール', 'アルマバテーム')",2141.15832801834
"('ユノディエール', 'ナルカミ')",151.3476437171195
"('ユノディエール', 'プエルタデルソル')",262.7243617568696
"('マイネルヘミニス', 'プラチナヴォイス')",28.36190371871406
"('マイネルヘミニス', 'スピリットソウル')",9.06267509805491
"('マイネルヘミニス', 'ジャコマル')",907.4829154532977
"('マイネルヘミニス', 'クインズゴールド')",143.97892819979194
"('マイネルヘミニス', 'アルマバテーム')",879.7614991482111
"('マイネルヘミニス', 'ナルカミ')",62.23712749018967
"('マイネルヘミニス', 'プエルタデルソル')",107.99687825182103
"('プラチナヴォイス', 'スピリットソウル')",2.909718528134189
"('プラチナヴォイス', 'ジャコマル')",285.3997926679644
"('プラチナヴォイス', 'クインズゴールド')",45.334231833460926
"('プラチナヴォイス', 'アルマバテーム')",276.6834530766394
"('プラチナヴォイス', 'ナルカミ')",19.63257891188772
"('プラチナヴォイス', 'プエルタデルソル')",34.02056868256644
"('スピリットソウル', 'ジャコマル')",90.68055365900688
"('スピリットソウル', 'クインズゴールド')",14.451742217151606
"('スピリットソウル', 'アルマバテーム')",87.91281472520154
"('スピリットソウル', 'ナルカミ')",6.291073642503741
"('スピリットソウル', 'プエルタデルソル')",10.859394352158064
"('ジャコマル', 'クインズゴールド')",1452.2707421477191
"('ジャコマル', 'アルマバテーム')",8878.233780711755
"('ジャコマル', 'ナルカミ')",627.2837408307431
"('ジャコマル', 'プエルタデルソル')",1089.1181907184991
"('クインズゴールド', 'アルマバテーム')",1407.9056541665052
"('クインズゴールド', 'ナルカミ')",99.54751576373629
"('クインズゴールド', 'プエルタデルソル')",172.7809568285069
"('アルマバテーム', 'ナルカミ')",608.1226147183262
"('アルマバテーム', 'プエルタデルソル')",1055.8476824812394
"('ナルカミ', 'プエルタデルソル')",74.67662079893789
